name,sources
VOODOO BEAR,CrowdStrike
UPS Brand,UPS
Couch Ransomers,Couch
CRM36 Threat Group,DeepSight Intelligence Report
Winnti Group,DeepSight Intelligence Report
Blackfly,DeepSight Intelligence
{Test},Nir Yosha
{{Test}},Nir Yosha
GHOST JACKAL,CrowdStrike
PatPanda,CrowdStrike
ScriptKidz,ThreatIntel
BOSON SPIDER,CrowdStrike
Strider,Symantec
Prince of Persia - Game Over,Neal Humphrey
APT28,Kevin Libby
SuckFly,Kevin Libby
Poison Ivy,Neal Humphrey
Gaza Hackers,Nir Yosha
Yann,Yann LeBorgne
Snake,chris@threatq.com
TEAM BEAR,CrowdStrike
YLB - animals,Yann LeBorgne
TOXIC PANDA,CrowdStrike
GIBBERISH PANDA,CrowdStrike
DAGGER PANDA,CrowdStrike
WOLF SPIDER,CrowdStrike
REBEL JACKAL,CrowdStrike
TEMPER PANDA,CrowdStrike
AMOROUS PANDA,CrowdStrike
NIGHTSHADE PANDA,CrowdStrike
SILENT CHOLLIMA,CrowdStrike
MAGIC KITTEN,CrowdStrike
IMPERSONATING PANDA,CrowdStrike
PREDATOR PANDA,CrowdStrike
Panda,CrowdStrike
DEADEYE JACKAL,CrowdStrike
CHARMING KITTEN,CrowdStrike
SABRE PANDA,CrowdStrike
PITTY PANDA,CrowdStrike
SHARK SPIDER,CrowdStrike
VIOLIN PANDA,CrowdStrike
ENERGETIC BEAR,CrowdStrike
EXTREME JACKAL,CrowdStrike
FLYING KITTEN,CrowdStrike
NUMBERED PANDA,CrowdStrike
WET PANDA,CrowdStrike
PALE PANDA,CrowdStrike
BOULDER BEAR,CrowdStrike
SPICY PANDA,CrowdStrike
OVERRIDE PANDA,CrowdStrike
KARMA PANDA,CrowdStrike
ELOQUENT PANDA,CrowdStrike
TURBINE PANDA,CrowdStrike
COZY BEAR,CrowdStrike
STALKER PANDA,CrowdStrike
SAMURAI PANDA,CrowdStrike
PIRATE PANDA,CrowdStrike
GOTHIC PANDA,CrowdStrike
HURRICANE PANDA,CrowdStrike
EMISSARY PANDA,CrowdStrike
WICKED SPIDER,CrowdStrike
MAVERICK PANDA,CrowdStrike
AURORA PANDA,CrowdStrike
COMMENT PANDA,CrowdStrike
KEYHOLE PANDA,CrowdStrike
PUTTER PANDA,CrowdStrike
RADIO PANDA,CrowdStrike
BERSERK BEAR,CrowdStrike
VICEROY TIGER,CrowdStrike
CARBON SPIDER,CrowdStrike
LOTUS PANDA,CrowdStrike
ANDROMEDA SPIDER,CrowdStrike
VENOMOUS BEAR,CrowdStrike
ANCHOR PANDA,CrowdStrike
STONE PANDA,CrowdStrike
GOBLIN PANDA,CrowdStrike
DYNAMITE PANDA,CrowdStrike
HAMMER PANDA,CrowdStrike
DEEP PANDA,CrowdStrike
VIXEN PANDA,Kevin Libby
Shell_Crew,Kevin Libby
FANCY BEAR,CrowdStrike
Jack Reacher, Clint.Hart
Morpheus & Neo, Clint.Hart
John Wick, Spider-Man
Darth Vedar, Henry Kavil
Lone Ranger, Michelle Obama
James Bond, Jenna Jamison
