Indicator,Type,Status,Attribute::Source,Attribute::Source Type,Campaign,Campaign Attribution Details,Campaign Confidence,Create Date,Comments,Attribute::Attack Phase
a3cbf6179d437909eb532b7319b3dafe,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
1369fee289fe7798a02cde100a5e91d8,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
c0c03b71684eb0545ef9182f5f9928ca,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
4dc22c1695d1f275c3b6e503a1b171f5,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
111ed2f02d8af54d0b982d8c9dd4932e,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
7731d42b043865559258464fe1c98513,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
24b354f8cfb6a181906ceaf9a7ec28b0,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
fdba4370b60eda1ee852c6515da9da58,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
3ab3d463575a011dfad630da154600b5,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
a347af5cc3c5429911e5167b2d30e1ac,MD5,Active,http://securelist.com/analysis/publications/65545/the-epic-turla-operation/,Kaspersky Lab,Epic Turla,"Over the last 10 months, Kaspersky Lab researchers have analyzed a massive cyber-espionage operation which we call ""Epic Turla"". The attackers behind Epic Turla have infected several hundred computers in more than 45 countries, including government institutions, embassies, military, education, research and pharmaceutical companies.",High,8/7/2014 13:55,,
