Time,Device:,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
2020-01-17 00:00:34,sda,0.03,146.79,37.30,138.59,951.40,3238.12,47.64,0.35,2.00,3.84,1.51,0.46,8.10
2020-01-17 00:01:35,sda,0.03,146.93,37.29,138.66,951.21,3238.84,47.63,0.35,2.00,3.84,1.51,0.46,8.10
2020-01-17 00:02:35,sda,0.03,147.07,37.28,138.72,951.04,3239.41,47.62,0.35,2.00,3.84,1.51,0.46,8.10
2020-01-17 00:03:36,sda,0.03,147.21,37.28,138.78,950.86,3240.06,47.61,0.35,2.00,3.84,1.51,0.46,8.10
2020-01-17 00:04:37,sda,0.03,147.35,37.27,138.85,950.70,3241.42,47.60,0.35,2.00,3.84,1.51,0.46,8.10
2020-01-17 00:05:37,sda,0.03,147.48,37.26,138.92,950.53,3242.10,47.59,0.35,2.00,3.84,1.50,0.46,8.09
2020-01-17 00:06:38,sda,0.03,147.61,37.26,138.98,950.35,3242.71,47.58,0.35,2.00,3.84,1.50,0.46,8.09
2020-01-17 00:07:39,sda,0.03,147.75,37.25,139.04,950.18,3243.38,47.57,0.35,2.00,3.84,1.50,0.46,8.09
2020-01-17 00:08:39,sda,0.03,147.88,37.24,139.11,950.01,3244.51,47.57,0.35,2.00,3.84,1.50,0.46,8.09
2020-01-17 00:09:40,sda,0.03,148.00,37.24,139.17,949.85,3245.09,47.56,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:10:40,sda,0.03,148.14,37.23,139.24,949.68,3245.69,47.55,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:11:41,sda,0.03,148.27,37.22,139.30,949.51,3246.73,47.54,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:12:42,sda,0.03,148.41,37.21,139.36,949.33,3247.34,47.53,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:13:42,sda,0.03,148.55,37.21,139.43,949.16,3247.90,47.52,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:14:43,sda,0.03,148.68,37.20,139.50,949.00,3248.95,47.52,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:15:44,sda,0.03,148.82,37.19,139.56,948.83,3249.58,47.51,0.35,1.99,3.84,1.50,0.46,8.09
2020-01-17 00:16:44,sda,0.03,148.94,37.19,139.62,948.66,3250.16,47.50,0.35,1.99,3.84,1.49,0.46,8.09
2020-01-17 00:17:45,sda,0.03,149.08,37.18,139.68,948.48,3250.87,47.49,0.35,1.99,3.84,1.49,0.46,8.08
2020-01-17 00:18:45,sda,0.03,149.21,37.17,139.75,948.31,3251.85,47.48,0.35,1.99,3.84,1.49,0.46,8.08
2020-01-17 00:19:46,sda,0.03,149.34,37.17,139.81,948.14,3252.39,47.47,0.35,1.99,3.84,1.49,0.46,8.08
2020-01-17 00:20:47,sda,0.03,149.47,37.16,139.87,947.97,3252.94,47.46,0.35,1.98,3.84,1.49,0.46,8.08
2020-01-17 00:21:47,sda,0.03,149.60,37.15,139.93,947.80,3253.72,47.45,0.35,1.98,3.84,1.49,0.46,8.08
2020-01-17 00:22:48,sda,0.03,149.73,37.15,139.99,947.63,3254.29,47.44,0.35,1.98,3.84,1.49,0.46,8.08
2020-01-17 00:23:48,sda,0.03,149.85,37.14,140.05,947.47,3254.86,47.43,0.35,1.98,3.84,1.49,0.46,8.08
