Time,1 Minute,5min,15min
2020-01-17 00:00:34, 1.94, 2.05, 2.13
2020-01-17 00:01:35, 2.00, 2.04, 2.13
2020-01-17 00:02:35, 1.34, 1.88, 2.07
2020-01-17 00:03:36, 1.66, 1.84, 2.05
2020-01-17 00:04:37, 1.68, 1.83, 2.03
2020-01-17 00:05:37, 1.66, 1.81, 2.01
2020-01-17 00:06:38, 1.73, 1.80, 2.00
2020-01-17 00:07:39, 2.23, 1.90, 2.02
2020-01-17 00:08:39, 2.27, 1.97, 2.03
2020-01-17 00:09:40, 2.10, 1.98, 2.04
2020-01-17 00:10:40, 1.93, 1.95, 2.02
2020-01-17 00:11:41, 1.79, 1.91, 2.01
2020-01-17 00:12:42, 1.77, 1.88, 1.99
2020-01-17 00:13:42, 2.49, 2.05, 2.04
2020-01-17 00:14:43, 2.02, 1.99, 2.02
2020-01-17 00:15:44, 1.73, 1.90, 1.99
2020-01-17 00:16:44, 1.64, 1.85, 1.96
2020-01-17 00:17:45, 2.24, 1.98, 2.00
2020-01-17 00:18:45, 2.18, 2.00, 2.01
2020-01-17 00:19:46, 2.13, 2.05, 2.03
2020-01-17 00:20:47, 2.00, 2.03, 2.02
2020-01-17 00:21:47, 1.90, 1.97, 2.00
2020-01-17 00:22:48, 1.66, 1.91, 1.98
2020-01-17 00:23:48, 1.76, 1.89, 1.97
2020-01-17 00:24:49, 2.25, 1.99, 2.00
2020-01-17 00:25:50, 1.96, 1.96, 1.98
2020-01-17 00:26:50, 2.37, 2.09, 2.03
2020-01-17 00:27:51, 2.24, 2.14, 2.05
2020-01-17 00:28:52, 2.31, 2.18, 2.06
2020-01-17 00:29:52, 2.16, 2.15, 2.06
2020-01-17 00:30:53, 1.98, 2.09, 2.04
2020-01-17 00:31:53, 1.70, 2.00, 2.02
2020-01-17 00:32:54, 2.04, 2.04, 2.03
2020-01-17 00:33:55, 1.71, 1.93, 2.00
2020-01-17 00:34:55, 1.85, 1.93, 1.99
2020-01-17 00:35:56, 2.00, 1.96, 2.00
2020-01-17 00:36:56, 2.37, 2.07, 2.03
2020-01-17 00:37:57, 1.81, 1.97, 2.00
2020-01-17 00:38:58, 2.31, 2.10, 2.05
2020-01-17 00:39:58, 1.86, 2.02, 2.02
2020-01-17 00:40:59, 1.56, 1.91, 1.99
2020-01-17 00:42:00, 1.37, 1.79, 1.94
2020-01-17 00:43:00, 1.58, 1.79, 1.93
2020-01-17 00:44:01, 1.77, 1.81, 1.93
2020-01-17 00:45:01, 2.02, 1.90, 1.96
2020-01-17 00:46:02, 2.52, 2.05, 2.00
2020-01-17 00:47:03, 1.92, 1.97, 1.98
2020-01-17 00:48:03, 1.95, 1.99, 1.99
2020-01-17 00:49:04, 2.16, 2.03, 2.00
2020-01-17 00:50:04, 2.21, 2.04, 2.00
2020-01-17 00:51:05, 2.12, 2.03, 2.00
2020-01-17 00:52:06, 2.06, 2.02, 2.00
2020-01-17 00:53:06, 2.04, 2.01, 1.99
2020-01-17 00:54:07, 2.14, 2.02, 2.00
2020-01-17 00:55:08, 2.45, 2.11, 2.03
2020-01-17 00:56:08, 2.32, 2.15, 2.05
2020-01-17 00:57:09, 1.79, 2.03, 2.02
2020-01-17 00:58:09, 2.14, 2.08, 2.03
2020-01-17 00:59:10, 2.11, 2.08, 2.04
2020-01-17 01:00:11, 1.99, 2.04, 2.03
2020-01-17 01:01:11, 2.13, 2.06, 2.04
2020-01-17 01:02:12, 1.88, 2.00, 2.02
2020-01-17 01:03:12, 1.97, 2.00, 2.02
2020-01-17 01:04:13, 2.46, 2.14, 2.07
2020-01-17 01:05:14, 2.32, 2.16, 2.08
2020-01-17 01:06:14, 2.13, 2.16, 2.08
2020-01-17 01:07:15, 2.35, 2.20, 2.10
2020-01-17 01:08:16, 2.15, 2.17, 2.10
2020-01-17 01:09:16, 2.22, 2.18, 2.11
2020-01-17 01:10:17, 2.17, 2.18, 2.11
2020-01-17 01:11:17, 1.99, 2.12, 2.10
2020-01-17 01:12:18, 1.99, 2.11, 2.10
2020-01-17 01:13:19, 2.30, 2.20, 2.13
2020-01-17 01:14:19, 2.74, 2.34, 2.18
2020-01-17 01:15:20, 2.13, 2.23, 2.15
2020-01-17 01:16:20, 1.92, 2.15, 2.13
2020-01-17 01:17:21, 2.17, 2.17, 2.14
2020-01-17 01:18:22, 2.13, 2.17, 2.14
2020-01-17 01:19:22, 2.00, 2.13, 2.13
2020-01-17 01:20:23, 2.11, 2.14, 2.13
2020-01-17 01:21:24, 1.94, 2.07, 2.11
2020-01-17 01:22:24, 2.12, 2.09, 2.12
2020-01-17 01:23:25, 2.86, 2.30, 2.19
2020-01-17 01:24:25, 2.18, 2.22, 2.17
2020-01-17 01:25:26, 1.98, 2.15, 2.14
2020-01-17 01:26:27, 1.91, 2.10, 2.13
2020-01-17 01:27:27, 2.06, 2.11, 2.13
2020-01-17 01:28:28, 2.22, 2.13, 2.14
2020-01-17 01:29:29, 1.98, 2.09, 2.12
2020-01-17 01:30:29, 1.64, 1.95, 2.07
2020-01-17 01:31:30, 2.06, 2.00, 2.08
2020-01-17 01:32:30, 2.51, 2.14, 2.12
2020-01-17 01:33:31, 2.20, 2.11, 2.12
2020-01-17 01:34:32, 2.27, 2.17, 2.14
