time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-01-17 00:00:34,10233,solr,20,0,78118912,24326963,284164,S,23.5,18.4,345:41.36,java
2020-01-17 00:01:35,10233,solr,20,0,78118912,24326963,285168,S,23.5,18.4,346:03.87,java
2020-01-17 00:02:35,10233,solr,20,0,78118912,24326963,288048,S,23.5,18.4,346:25.91,java
2020-01-17 00:03:36,10233,solr,20,0,78223769,24326963,335492,S,62.5,18.5,346:46.84,java
2020-01-17 00:04:37,10233,solr,20,0,78223769,24326963,291656,S,31.2,18.4,347:16.55,java
2020-01-17 00:05:37,10233,solr,20,0,78223769,24326963,294628,S,27.8,18.4,347:39.41,java
2020-01-17 00:06:38,10233,solr,20,0,78223769,24326963,297000,S,31.2,18.4,348:02.12,java
2020-01-17 00:07:39,10233,solr,20,0,78328627,24431820,412632,S,70.6,18.5,348:28.79,java
2020-01-17 00:08:39,10233,solr,20,0,78328627,24326963,301180,S,31.2,18.4,348:51.71,java
2020-01-17 00:09:40,10233,solr,20,0,78328627,24326963,305636,S,31.2,18.4,349:16.05,java
2020-01-17 00:10:40,10233,solr,20,0,78328627,24431820,400532,S,35.3,18.5,349:44.15,java
2020-01-17 00:11:41,10233,solr,20,0,78433484,24326963,308724,S,29.4,18.4,350:06.39,java
2020-01-17 00:12:42,10233,solr,20,0,78433484,24326963,310496,S,37.5,18.4,350:25.78,java
2020-01-17 00:13:42,10233,solr,20,0,78433484,24326963,311840,S,18.8,18.4,350:45.20,java
2020-01-17 00:14:43,10233,solr,20,0,78433484,24326963,315696,S,29.4,18.4,351:13.92,java
2020-01-17 00:15:44,10233,solr,20,0,78538342,24326963,317488,S,29.4,18.4,351:35.31,java
2020-01-17 00:16:44,10233,solr,20,0,78538342,24326963,319604,S,29.4,18.5,351:58.22,java
2020-01-17 00:17:45,10233,solr,20,0,78538342,24431820,451544,S,25.0,18.6,352:26.14,java
2020-01-17 00:18:45,10233,solr,20,0,78538342,24326963,323532,S,117.6,18.5,352:48.61,java
2020-01-17 00:19:46,10233,solr,20,0,78643200,24326963,326200,S,31.2,18.5,353:10.78,java
2020-01-17 00:20:47,10233,solr,20,0,78643200,24431820,416848,S,29.4,18.5,353:37.49,java
2020-01-17 00:21:47,10233,solr,20,0,78643200,24326963,330928,S,17.6,18.5,353:59.30,java
2020-01-17 00:22:48,10233,solr,20,0,78643200,24326963,333024,S,43.8,18.5,354:20.40,java
2020-01-17 00:23:48,10233,solr,20,0,78643200,24431820,424564,S,37.5,18.5,354:44.55,java
2020-01-17 00:24:49,10233,solr,20,0,78748057,24746393,718768,S,58.8,18.8,355:26.26,java
2020-01-17 00:25:50,10233,solr,20,0,78748057,25060966,1048576,S,35.3,19.0,356:02.46,java
2020-01-17 00:26:50,10233,solr,20,0,78852915,25165824,1153433,S,25.0,19.1,356:53.49,java
2020-01-17 00:27:51,10233,solr,20,0,78852915,25165824,1153433,S,23.5,19.1,357:18.56,java
2020-01-17 00:28:52,10233,solr,20,0,79167488,25165824,1153433,S,31.2,19.1,357:40.06,java
2020-01-17 00:29:52,10233,solr,20,0,78852915,24326963,349536,S,31.2,18.5,358:03.29,java
2020-01-17 00:30:53,10233,solr,20,0,78852915,24431820,451996,S,29.4,18.6,358:33.66,java
2020-01-17 00:31:53,10233,solr,20,0,78957772,24326963,355536,S,29.4,18.5,358:53.90,java
2020-01-17 00:32:54,10233,solr,20,0,78957772,24326963,357212,S,25.0,18.5,359:14.09,java
2020-01-17 00:33:55,10233,solr,20,0,78957772,24431820,428684,S,23.5,18.5,359:37.55,java
2020-01-17 00:34:55,10233,solr,20,0,78957772,24326963,358780,S,47.1,18.5,359:55.74,java
2020-01-17 00:35:56,10233,solr,20,0,78957772,24326963,361648,S,35.3,18.5,360:16.50,java
2020-01-17 00:36:56,10233,solr,20,0,79062630,24326963,364272,S,35.3,18.5,360:39.48,java
2020-01-17 00:37:57,10233,solr,20,0,79062630,24431820,434620,S,25.0,18.5,361:03.76,java
2020-01-17 00:38:58,10233,solr,20,0,79062630,24326963,367792,S,29.4,18.5,361:25.42,java
2020-01-17 00:39:58,10233,solr,20,0,79062630,24326963,371440,S,50.0,18.5,361:49.24,java
2020-01-17 00:40:59,10233,solr,20,0,79062630,24431820,460660,S,33.3,18.6,362:15.40,java
2020-01-17 00:42:00,10233,solr,20,0,79167488,24326963,375704,S,23.5,18.5,362:39.81,java
2020-01-17 00:43:00,10233,solr,20,0,79167488,24326963,378004,S,29.4,18.5,363:00.94,java
2020-01-17 00:44:01,10233,solr,20,0,79167488,24431820,410132,S,75.0,18.5,363:20.22,java
2020-01-17 00:45:01,10233,solr,20,0,79167488,24326963,382992,S,35.3,18.5,363:47.09,java
2020-01-17 00:46:02,10233,solr,20,0,79167488,24431820,385488,S,88.9,18.5,364:10.22,java
2020-01-17 00:47:03,10233,solr,20,0,79272345,24431820,387128,S,17.6,18.5,364:30.52,java
2020-01-17 00:48:03,10233,solr,20,0,79272345,24431820,464820,S,93.8,18.6,364:55.42,java
