time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-01-17 00:00:34,3456,root,20,0,253352,105016,104568,S,0.0,0.1,6:47.07,systemd-journal
2020-01-17 00:01:35,3456,root,20,0,253352,105192,104744,S,0.0,0.1,6:47.14,systemd-journal
2020-01-17 00:02:35,3456,root,20,0,253352,105328,104880,S,0.0,0.1,6:47.18,systemd-journal
2020-01-17 00:03:36,3456,root,20,0,253352,105476,105028,S,0.0,0.1,6:47.24,systemd-journal
2020-01-17 00:04:37,3456,root,20,0,253352,105636,105188,S,0.0,0.1,6:47.30,systemd-journal
2020-01-17 00:05:37,3456,root,20,0,253352,105832,105384,S,0.0,0.1,6:47.37,systemd-journal
2020-01-17 00:06:38,3456,root,20,0,253352,106008,105560,S,0.0,0.1,6:47.43,systemd-journal
2020-01-17 00:07:39,3456,root,20,0,253352,106144,105696,S,0.0,0.1,6:47.48,systemd-journal
2020-01-17 00:08:39,3456,root,20,0,253352,106288,105840,S,0.0,0.1,6:47.54,systemd-journal
2020-01-17 00:09:40,3456,root,20,0,261544,106484,106036,S,0.0,0.1,6:47.59,systemd-journal
2020-01-17 00:10:40,3456,root,20,0,261544,106800,106352,S,0.0,0.1,6:47.66,systemd-journal
2020-01-17 00:11:41,3456,root,20,0,261544,106972,106524,S,0.0,0.1,6:47.72,systemd-journal
2020-01-17 00:12:42,3456,root,20,0,261544,107124,106676,S,0.0,0.1,6:47.78,systemd-journal
2020-01-17 00:13:42,3456,root,20,0,261544,107252,106804,S,0.0,0.1,6:47.83,systemd-journal
2020-01-17 00:14:43,3456,root,20,0,261544,107432,106984,S,0.0,0.1,6:47.88,systemd-journal
2020-01-17 00:15:44,3456,root,20,0,261544,107616,107168,S,0.0,0.1,6:47.95,systemd-journal
2020-01-17 00:16:44,3456,root,20,0,261544,107784,107336,S,0.0,0.1,6:48.01,systemd-journal
2020-01-17 00:17:45,3456,root,20,0,261544,107932,107484,S,0.0,0.1,6:48.06,systemd-journal
2020-01-17 00:18:45,3456,root,20,0,261544,108056,107608,S,0.0,0.1,6:48.12,systemd-journal
2020-01-17 00:19:46,3456,root,20,0,261544,108224,107776,S,0.0,0.1,6:48.17,systemd-journal
2020-01-17 00:20:47,3456,root,20,0,261544,108408,107960,S,0.0,0.1,6:48.25,systemd-journal
2020-01-17 00:21:47,3456,root,20,0,261544,108576,108128,S,0.0,0.1,6:48.30,systemd-journal
2020-01-17 00:22:48,3456,root,20,0,261544,108732,108284,S,0.0,0.1,6:48.36,systemd-journal
2020-01-17 00:23:48,3456,root,20,0,261544,108880,108432,S,0.0,0.1,6:48.41,systemd-journal
2020-01-17 00:24:49,3456,root,20,0,261544,109060,108612,S,0.0,0.1,6:48.46,systemd-journal
2020-01-17 00:25:50,3456,root,20,0,261544,109228,108780,S,0.0,0.1,6:48.53,systemd-journal
2020-01-17 00:26:50,3456,root,20,0,261544,109368,108920,S,0.0,0.1,6:48.59,systemd-journal
2020-01-17 00:27:51,3456,root,20,0,261544,109540,109092,S,0.0,0.1,6:48.65,systemd-journal
2020-01-17 00:28:52,3456,root,20,0,261544,109692,109244,S,0.0,0.1,6:48.71,systemd-journal
2020-01-17 00:29:52,3456,root,20,0,261544,109844,109396,S,0.0,0.1,6:48.77,systemd-journal
2020-01-17 00:30:53,3456,root,20,0,261544,110040,109592,S,0.0,0.1,6:48.84,systemd-journal
2020-01-17 00:31:53,3456,root,20,0,261544,110204,109756,S,0.0,0.1,6:48.89,systemd-journal
2020-01-17 00:32:54,3456,root,20,0,261544,110360,109912,S,0.0,0.1,6:48.94,systemd-journal
2020-01-17 00:33:55,3456,root,20,0,261544,110504,110056,S,0.0,0.1,6:49.00,systemd-journal
2020-01-17 00:34:55,3456,root,20,0,261544,110660,110212,S,0.0,0.1,6:49.06,systemd-journal
2020-01-17 00:35:56,3456,root,20,0,261544,110836,110388,S,0.0,0.1,6:49.13,systemd-journal
