time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-01-17 00:00:34,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,33:58.04,supervisord
2020-01-17 00:01:35,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,33:58.47,supervisord
2020-01-17 00:02:35,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,33:58.88,supervisord
2020-01-17 00:03:36,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,33:59.31,supervisord
2020-01-17 00:04:37,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,33:59.73,supervisord
2020-01-17 00:05:37,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:00.15,supervisord
2020-01-17 00:06:38,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:00.58,supervisord
2020-01-17 00:07:39,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:00.99,supervisord
2020-01-17 00:08:39,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:01.42,supervisord
2020-01-17 00:09:40,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:01.84,supervisord
2020-01-17 00:10:40,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:02.27,supervisord
2020-01-17 00:11:41,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:02.69,supervisord
2020-01-17 00:12:42,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:03.12,supervisord
2020-01-17 00:13:42,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:03.55,supervisord
2020-01-17 00:14:43,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:04.02,supervisord
2020-01-17 00:15:44,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:04.45,supervisord
2020-01-17 00:16:44,18199,threatq,20,0,225040,18064,1656,S,5.9,0.0,34:04.88,supervisord
2020-01-17 00:17:45,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:05.30,supervisord
2020-01-17 00:18:45,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:05.72,supervisord
2020-01-17 00:19:46,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:06.15,supervisord
2020-01-17 00:20:47,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:06.58,supervisord
2020-01-17 00:21:47,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:07.00,supervisord
2020-01-17 00:22:48,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:07.46,supervisord
2020-01-17 00:23:48,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:07.90,supervisord
2020-01-17 00:24:49,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:08.35,supervisord
2020-01-17 00:25:50,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:08.76,supervisord
2020-01-17 00:26:50,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:09.20,supervisord
2020-01-17 00:27:51,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:09.63,supervisord
2020-01-17 00:28:52,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:10.04,supervisord
2020-01-17 00:29:52,18199,threatq,20,0,225040,18064,1656,S,6.2,0.0,34:10.47,supervisord
2020-01-17 00:30:53,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:10.89,supervisord
2020-01-17 00:31:53,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:11.32,supervisord
2020-01-17 00:32:54,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:11.75,supervisord
2020-01-17 00:33:55,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:12.18,supervisord
2020-01-17 00:34:55,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:12.61,supervisord
2020-01-17 00:35:56,18199,threatq,20,0,225040,18064,1656,S,5.9,0.0,34:13.04,supervisord
2020-01-17 00:36:56,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:13.46,supervisord
2020-01-17 00:37:57,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:13.88,supervisord
2020-01-17 00:38:58,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:14.30,supervisord
2020-01-17 00:39:58,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:14.73,supervisord
2020-01-17 00:40:59,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:15.15,supervisord
2020-01-17 00:42:00,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:15.59,supervisord
2020-01-17 00:43:00,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:16.02,supervisord
2020-01-17 00:44:01,18199,threatq,20,0,225040,18064,1656,S,0.0,0.0,34:16.44,supervisord
2020-01-17 00:45:01,18199,threatq,20,0,225756,18636,1656,R,47.1,0.0,34:17.11,supervisord
