time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-03-30 15:37:36,3891,threatq,20,0,514232,52216,6912,S,0.0,0.7,0:02.09,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:38:37,3891,threatq,20,0,887752,57176,6932,S,0.0,0.7,0:07.44,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:39:59,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:10.50,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:41:05,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:10.64,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:42:07,3891,threatq,20,0,961484,57188,6932,S,5.9,0.7,0:10.80,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:43:08,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:10.95,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:44:09,3891,threatq,20,0,961484,57188,6932,S,5.6,0.7,0:11.10,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:45:09,3891,threatq,20,0,961484,57188,6932,S,5.9,0.7,0:11.25,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:46:11,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:11.40,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:47:12,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:11.56,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:48:12,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:11.71,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:49:13,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:11.85,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:50:14,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.00,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:51:14,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.14,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:52:15,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.29,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:53:16,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.46,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:54:16,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.61,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:55:18,3891,threatq,20,0,961484,57188,6932,S,5.9,0.7,0:12.79,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:56:19,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:12.96,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:57:20,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:13.12,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:58:21,3891,threatq,20,0,961484,57188,6932,S,0.0,0.7,0:13.29,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
2020-03-30 15:59:23,3891,threatq,20,0,961484,57188,6932,S,5.9,0.7,0:13.45,/opt/threatq/python/bin/python3.5,/opt/threatq/python/bin/dynamo
