Time,Device:,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
2020-03-30 15:37:36,sda,1.35,18.39,80.85,59.56,4893.46,1505.05,91.14,3.85,27.44,12.06,48.33,2.17,30.40
2020-03-30 15:38:37,sda,1.13,16.52,67.31,52.18,4077.10,1337.63,90.63,3.39,28.40,12.08,49.47,2.15,25.75
2020-03-30 15:39:59,sda,2.36,0.66,265.42,153.28,5782.45,443.04,29.74,4.59,10.57,9.65,12.18,1.99,83.52
2020-03-30 15:41:05,sda,4.33,1.23,240.70,50.38,14664.26,352.05,103.18,4.72,16.23,13.08,31.24,2.53,73.52
2020-03-30 15:42:07,sda,2.42,1.45,135.57,36.04,8212.56,281.79,98.99,2.87,16.75,13.06,30.63,2.49,42.66
2020-03-30 15:43:08,sda,1.68,1.11,94.28,27.32,5710.93,212.04,97.42,2.08,17.13,13.06,31.19,2.45,29.85
2020-03-30 15:44:09,sda,1.29,0.94,72.25,22.27,4376.66,173.12,96.28,1.62,17.14,13.06,30.40,2.44,23.10
2020-03-30 15:45:09,sda,1.04,0.82,58.39,18.75,3537.18,146.09,95.50,1.34,17.34,13.06,30.68,2.55,19.66
2020-03-30 15:46:11,sda,0.88,0.74,49.12,16.56,2975.29,129.24,94.55,1.14,17.41,13.06,30.31,2.54,16.65
2020-03-30 15:47:12,sda,0.76,0.67,42.38,14.99,2567.50,117.12,93.59,1.01,17.56,13.06,30.30,2.52,14.46
2020-03-30 15:48:12,sda,0.67,0.62,37.28,13.76,2258.11,107.83,92.72,0.90,17.65,13.06,30.09,2.51,12.81
2020-03-30 15:49:13,sda,0.59,0.57,33.27,12.80,2015.23,100.52,91.85,0.82,17.74,13.06,29.92,2.50,11.51
2020-03-30 15:50:14,sda,0.54,0.55,30.04,12.16,1819.58,95.36,90.77,1.21,28.66,13.06,67.21,2.61,11.01
2020-03-30 15:51:14,sda,0.49,0.54,27.38,11.52,1658.56,90.42,89.92,1.11,28.63,13.06,65.62,2.60,10.10
2020-03-30 15:52:15,sda,0.45,0.51,25.15,11.10,1523.68,86.90,88.85,1.04,28.72,13.06,64.21,2.58,9.34
2020-03-30 15:53:16,sda,0.42,0.50,23.26,10.75,1409.11,83.98,87.79,0.97,28.64,13.06,62.36,2.56,8.69
2020-03-30 15:54:16,sda,0.39,0.48,21.61,10.45,1309.05,81.71,86.76,0.91,28.49,13.06,60.40,2.53,8.13
2020-03-30 15:55:18,sda,0.36,0.49,20.37,10.41,1231.14,84.15,85.47,0.88,28.52,13.25,58.40,2.66,8.18
2020-03-30 15:56:19,sda,0.34,0.49,19.12,10.47,1155.79,90.21,84.22,0.83,28.16,13.25,55.41,2.63,7.78
2020-03-30 15:57:20,sda,0.32,0.48,18.00,10.58,1087.94,96.47,82.87,0.79,27.78,13.25,52.49,2.59,7.40
2020-03-30 15:58:21,sda,0.30,0.48,17.00,10.65,1027.56,100.96,81.62,0.76,27.56,13.25,50.40,2.56,7.08
2020-03-30 15:59:23,sda,0.29,0.47,16.11,10.70,973.63,104.79,80.44,0.73,27.24,13.25,48.28,2.53,6.78
2020-03-30 16:00:25,sda,0.27,0.47,15.32,10.79,925.83,106.72,79.10,0.73,27.83,13.25,48.52,2.60,6.80
2020-03-30 16:01:26,sda,0.26,0.47,14.61,10.76,882.55,105.99,77.93,0.70,27.59,13.25,47.05,2.58,6.55
2020-03-30 16:02:26,sda,0.25,0.47,13.95,10.69,843.09,105.32,76.96,0.68,27.40,13.25,45.87,2.56,6.31
2020-03-30 16:03:27,sda,0.24,0.47,13.35,10.59,806.44,104.36,76.11,0.65,27.20,13.25,44.80,2.55,6.10
2020-03-30 16:04:29,sda,0.23,0.47,12.80,10.55,773.39,103.61,75.12,0.64,27.22,13.25,44.17,2.53,5.90
2020-03-30 16:05:29,sda,0.22,0.48,12.39,10.64,743.53,105.00,73.71,0.77,33.31,13.17,56.77,2.58,5.94
2020-03-30 16:06:30,sda,0.21,0.48,12.02,11.10,717.26,114.93,71.99,0.74,32.14,13.10,52.78,2.54,5.87
2020-03-30 16:07:32,sda,0.21,0.61,14.37,12.42,717.43,132.65,63.45,0.75,27.84,10.90,47.44,2.31,6.19
2020-03-30 16:08:32,sda,0.20,0.63,13.91,13.34,693.00,156.12,62.32,0.73,26.79,10.89,43.37,2.24,6.11
2020-03-30 16:09:33,sda,0.19,0.65,13.44,16.07,669.42,192.10,58.39,0.72,24.27,10.88,35.46,2.09,6.16
2020-03-30 16:10:34,sda,0.18,0.66,13.00,17.77,647.42,215.85,56.12,0.71,23.07,10.99,31.90,2.05,6.30
2020-03-30 16:11:34,sda,0.18,0.67,12.58,18.40,626.82,226.40,55.08,0.69,22.36,10.99,30.14,2.00,6.20
2020-03-30 16:12:35,sda,0.17,0.69,12.19,18.58,607.19,231.96,54.54,0.68,22.08,10.99,29.36,1.97,6.07
2020-03-30 16:13:37,sda,0.17,0.69,11.83,18.49,589.05,228.26,53.92,0.66,21.93,10.99,28.93,1.96,5.93
2020-03-30 16:14:37,sda,0.16,0.69,11.49,18.67,571.95,233.56,53.42,0.65,21.59,10.99,28.12,1.93,5.81
2020-03-30 16:15:38,sda,0.16,0.70,11.16,19.01,555.82,242.48,52.91,0.65,21.44,10.99,27.57,1.96,5.90
2020-03-30 16:16:39,sda,0.15,0.71,10.86,19.27,540.57,249.33,52.43,0.64,21.08,10.99,26.76,1.92,5.80
2020-03-30 16:17:39,sda,0.15,0.72,10.57,19.46,526.13,255.02,52.03,0.62,20.78,10.99,26.11,1.90,5.70
2020-03-30 16:18:40,sda,0.15,0.73,10.29,19.79,512.45,265.45,51.71,0.61,20.39,10.99,25.28,1.87,5.61
2020-03-30 16:19:40,sda,0.14,0.74,10.03,20.02,499.46,272.09,51.35,0.60,20.09,10.99,24.65,1.84,5.53
2020-03-30 16:20:41,sda,0.14,0.75,9.78,20.29,487.11,278.38,50.91,0.62,20.61,10.99,25.25,1.87,5.63
2020-03-30 16:21:42,sda,0.14,0.75,9.55,21.18,475.36,291.05,49.88,0.61,19.92,10.99,23.95,1.83,5.62
2020-03-30 16:22:42,sda,0.13,0.76,9.32,21.42,464.17,296.64,49.50,0.60,19.60,10.99,23.34,1.80,5.54
2020-03-30 16:23:43,sda,0.13,0.76,9.11,21.65,453.49,302.36,49.15,0.59,19.30,10.99,22.80,1.78,5.47
2020-03-30 16:24:44,sda,0.13,0.77,8.91,21.91,443.29,309.35,48.84,0.58,18.98,10.99,22.23,1.75,5.40
2020-03-30 16:25:44,sda,0.12,0.77,8.72,22.33,433.58,320.19,48.55,0.59,18.99,10.98,22.12,1.79,5.55
2020-03-30 16:26:45,sda,0.12,0.78,8.53,22.30,424.25,316.98,48.09,0.58,18.86,10.98,21.88,1.77,5.46
2020-03-30 16:27:46,sda,0.12,0.77,8.35,22.00,415.30,311.91,47.92,0.57,18.83,10.98,21.81,1.77,5.36
2020-03-30 16:28:46,sda,0.12,0.76,8.18,21.67,406.73,306.37,47.78,0.56,18.83,10.98,21.80,1.76,5.26
2020-03-30 16:29:47,sda,0.11,0.75,8.01,21.33,398.50,301.01,47.67,0.55,18.87,10.98,21.84,1.76,5.17
2020-03-30 16:30:48,sda,0.11,0.74,7.86,21.05,390.60,296.19,47.52,0.57,19.88,10.98,23.20,1.79,5.19
2020-03-30 16:31:48,sda,0.11,0.74,7.70,20.76,383.00,291.30,47.39,0.57,19.91,10.98,23.22,1.79,5.10
2020-03-30 16:32:49,sda,0.11,0.73,7.56,20.46,375.69,286.55,47.27,0.56,19.91,10.98,23.21,1.79,5.02
2020-03-30 16:33:50,sda,0.11,0.72,7.41,20.18,368.66,281.97,47.16,0.55,19.93,10.98,23.21,1.79,4.93
2020-03-30 16:34:50,sda,0.10,0.71,7.28,19.90,361.88,277.57,47.05,0.54,19.95,10.98,23.23,1.79,4.85
2020-03-30 16:35:51,sda,0.10,0.70,7.15,19.65,355.35,273.34,46.93,0.55,20.69,10.98,24.23,1.82,4.88
2020-03-30 16:36:52,sda,0.10,0.70,7.02,19.39,349.06,269.24,46.82,0.55,20.71,10.98,24.23,1.82,4.80
2020-03-30 16:37:52,sda,0.10,0.69,6.90,19.15,342.98,265.30,46.71,0.54,20.73,10.98,24.25,1.82,4.73
2020-03-30 16:38:53,sda,0.10,0.68,6.78,18.91,337.11,261.47,46.60,0.53,20.77,10.98,24.28,1.81,4.66
2020-03-30 16:39:54,sda,0.09,0.68,6.67,18.69,331.44,257.86,46.49,0.53,20.80,10.98,24.30,1.81,4.60
2020-03-30 16:40:54,sda,0.09,0.67,6.56,18.49,325.96,254.46,46.34,0.54,21.55,10.98,25.29,1.84,4.60
2020-03-30 16:41:55,sda,0.09,0.67,6.50,18.74,321.17,258.06,45.90,0.53,21.16,10.93,24.71,1.82,4.60
2020-03-30 16:42:56,sda,0.09,0.68,6.39,22.54,316.02,302.70,42.77,0.54,18.61,10.93,20.79,1.69,4.88
2020-03-30 16:43:56,sda,0.09,0.70,6.29,26.90,310.95,362.63,40.59,0.54,16.27,10.93,17.52,1.57,5.19
2020-03-30 16:44:58,sda,0.09,0.72,6.20,34.75,306.08,448.75,36.87,0.54,13.26,10.92,13.67,1.41,5.76
2020-03-30 16:46:00,sda,0.09,0.75,6.11,42.26,301.41,541.18,34.84,0.57,11.77,10.92,11.89,1.32,6.39
2020-03-30 16:47:01,sda,0.08,0.79,6.01,50.81,296.78,649.95,33.32,0.57,10.09,10.92,9.99,1.22,6.96
2020-03-30 16:48:03,sda,0.08,0.86,5.92,60.59,292.29,790.96,32.57,0.58,8.72,10.92,8.50,1.14,7.59
2020-03-30 16:49:05,sda,0.08,0.92,5.83,70.63,287.93,940.87,32.14,0.59,7.70,10.92,7.43,1.08,8.26
